Symbole,accPrediction(1),accPrediction(30)
AVB,0.5037220843672456,0.6927083333333334
F,0.4657534246575342,0.6880222841225627
XRX,0.450402144772118,0.7310924369747899
AVY,0.5161290322580645,0.8118279569892473
NAVI,0.515527950310559,0.6510067114093959
AIZ,0.5442708333333334,0.7821229050279329
DXC,0.6818181818181818,0.7659574468085106
PM,0.501466275659824,0.7479452054794521
SPGI,0.5196629213483146,0.7774647887323943
AIV,0.5073746312684366,0.7103825136612022
VFC,0.4906166219839142,0.773109243697479
IP,0.49266862170087977,0.753315649867374
WRK,0.5274725274725275,0.8762886597938144
RTN,0.4628099173553719,0.741424802110818
MAR,0.4947089947089947,0.7134328358208956
PNC,0.5150753768844221,0.7692307692307693
SNA,0.510989010989011,0.7957957957957958
SCHW,0.48985507246376814,0.7204030226700252
FDX,0.48169014084507045,0.7320954907161804
ZION,0.47246376811594204,0.7010869565217391
EW,0.5286103542234333,0.7519582245430809
FITB,0.5118733509234829,0.6695156695156695
TROW,0.5248041775456919,0.7078651685393258
KSU,0.5481283422459893,0.7346368715083799
COL,0.5526315789473685,0.75
APH,0.6060606060606061,0.8372093023255814
UHS,0.5406824146981627,0.7771260997067448
VNO,0.49865229110512127,0.6991643454038997
FFIV,0.5251989389920424,0.7485549132947977
LLL,0.48360655737704916,0.7573333333333333
IVZ,0.5128939828080229,0.6985507246376812
IR,0.4774774774774775,0.728494623655914
NWSA,0.4911242603550296,0.7634408602150538
MNK,0.550561797752809,0.7450980392156863
GILD,0.4811594202898551,0.7295918367346939
OKE,0.4576271186440678,0.7767584097859327
PXD,0.46089385474860334,0.7182044887780549
ADI,0.46184738955823296,0.7818930041152263
PRU,0.44672131147540983,0.7222222222222222
ALB,0.5102040816326531,0.7119565217391305
D,0.5,0.7351190476190477
RHI,0.49868073878627966,0.72782874617737
AMAT,0.4753623188405797,0.7390029325513197
STZ,0.5116279069767442,0.788235294117647
SWKS,0.5115089514066496,0.7297297297297297
SJM,0.44959128065395093,0.7864864864864864
CSCO,0.5118733509234829,0.6827956989247311
NEE,0.6666666666666666,0.4
CVS,0.5285714285714286,0.7209302325581395
SNI,0.5201149425287356,0.7598944591029023
DHR,0.7368421052631579,0.7894736842105263
FTI,0.45454545454545453,0.6363636363636364
ZBH,0.5144356955380578,0.7486486486486487
NSC,0.5555555555555556,0.6909090909090909
EL,0.5347432024169184,0.7696335078534031
AET,0.521865889212828,0.7457142857142857
COO,0.4879356568364611,0.7585301837270341
KEY,0.65,0.5833333333333334
GOOGL,0.49591280653950953,0.7617728531855956
RF,0.5027777777777778,0.7018970189701897
HAS,0.5203252032520326,0.7121212121212122
ADSK,0.4596100278551532,0.7208672086720868
GM,0.49508196721311476,0.662613981762918
DISCA,0.5218508997429306,0.7180851063829787
SIG,0.536,0.798941798941799
SYF,0.5441176470588235,0.8657718120805369
CELG,0.5057803468208093,0.6978021978021978
NRG,0.5316091954022989,0.68
CME,0.5465994962216625,0.723463687150838
HRL,0.4896373056994819,0.8005464480874317
FAST,0.481994459833795,0.7146892655367232
EMR,0.38910505836575876,0.646551724137931
XYL,0.5111111111111111,0.7655172413793103
XEL,0.5232876712328767,0.7131578947368421
MYL,0.4537037037037037,0.7553191489361702
TSCO,0.524547803617571,0.8481375358166189
TSS,0.5121293800539084,0.807799442896936
IPG,0.5310734463276836,0.7117117117117117
JPM,0.5151515151515151,0.6854838709677419
NOV,0.504225352112676,0.7
MSFT,0.5161290322580645,0.7345360824742269
WDC,0.46701846965699206,0.7425474254742548
IFF,0.5226666666666666,0.7859154929577464
AN,0.5329512893982808,0.6923076923076923
TGT,0.4742547425474255,0.6751269035532995
BK,0.5388888888888889,0.7474226804123711
VZ,0.47246376811594204,0.7376093294460642
RJF,0.5094850948509485,0.7108753315649867
TXN,0.5120643431635389,0.7519788918205804
YHOO,0.4720670391061452,0.7520661157024794
PCG,0.5191256830601093,0.7565217391304347
FLR,0.4962025316455696,0.6518105849582173
BMY,1.0,0.5714285714285714
KORS,0.5058823529411764,0.7279151943462897
MAT,0.521978021978022,0.7746478873239436
SPG,0.49066666666666664,0.7223650385604113
DG,0.5219941348973607,0.8089005235602095
GPS,0.49076517150395776,0.7262569832402235
NTRS,0.5236686390532544,0.6955307262569832
CL,0.47229551451187335,0.7058823529411765
MKC,0.8,0.9375
GPC,0.5,0.7142857142857143
PLD,0.5245901639344263,0.773841961852861
GWW,0.5173410404624278,0.7138888888888889
NI,0.536986301369863,0.7868020304568528
PRGO,0.47282608695652173,0.7232704402515723
CAH,0.4907161803713528,0.7382198952879581
MJN,0.48148148148148145,0.7566844919786097
O,0.5218579234972678,0.7217391304347827
ILMN,0.4984984984984985,0.7629427792915532
MDT,0.4230769230769231,0.8076923076923077
WY,0.4602739726027397,0.7348066298342542
EA,0.5302593659942363,0.7446236559139785
JBHT,0.5227882037533512,0.7408450704225352
AVGO,0.532258064516129,0.8846153846153846
CTL,0.5157894736842106,0.6931216931216931
WU,0.44562334217506633,0.6867469879518072
XEC,0.5085227272727273,0.7058823529411765
HPE,0.47126436781609193,0.8860759493670886
OMC,0.5203252032520326,0.7849462365591398
CI,0.4659090909090909,0.7435897435897436
SEE,0.5071428571428571,0.6893939393939394
MS,0.5163934426229508,0.672
CMI,0.510752688172043,0.726790450928382
WHR,0.5261845386533666,0.7519181585677749
TJX,0.532258064516129,0.7927461139896373
M,0.4588859416445623,0.7282913165266106
AMGN,0.4939759036144578,0.7921760391198044
AGN,0.5393939393939394,0.7868852459016393
COG,0.5161290322580645,0.8214285714285714
VRSK,0.4725848563968668,0.7512953367875648
MCD,0.5043731778425656,0.7044198895027625
HON,0.46596858638743455,0.75
MAA,0.47005988023952094,0.739247311827957
KR,0.5052356020942408,0.8020304568527918
PAYX,0.5414364640883977,0.7012987012987013
WYN,0.48936170212765956,0.7406340057636888
T,0.4887640449438202,0.7292225201072386
PHM,0.5,0.6818181818181818
